# List created using the lists from:
# http://www.issn.org/2-22660-LTWA.php
-agoge	-ag
abgeschlossen-	abgeschloss
Abhandlung-	Abh
abhor-	abhor
abiding	abid
Abidjan	Abidj
abilit-	abil
Abington	Abingt
abitare	abit
abitibien	abitib
abitootmisala-	abitootmisala
abiturient-	abitur
Abkommen	Abkomm
Abkurzung	Abkurz
Ablieferung	Ablief
abmoticesk-	abmotic
abnegation	abneg
abnormal-	abnorm
aboensis	abo
abogacia	abog
abogado	abog
abolition	abolit
abonn-	abonn
abordable	abord
aborig-	aborig
abort-	abort
Abprodukt-	Abprod
abrasive	abras
abrazivnyj	abraz
Abrechnung-	Abrechn
Abreisskalender	Abreisskal
abrevia-	abr
abreg-	abr
abreviation	abr
abridged	abr
abridgment	abr
abruzz-	abruzz
Abrustung	Abrust
Absatzfrage	Absatzfr
Absatzgebiet	Absatzgeb
Absatzgrossenklasse	Absatzgrossenkl
Absatzverhaltnis	Absatzverhalt
Absatzwirtschaft	Absatzwirtsch
absatzwirtschaftlich	absatzwirtsch
Abschatzung	Abschatz
Abscheideleistung-	Abscheideleist
Abscheider	Abscheid
Abschluss	Abschl
Abschnitt	Abschn
Abschrift	Abschr
absenteism	absent
absenteisme	absent
absolut-	absol
absolut-	absol
Absolvent-	Absolv
absolwent	absolw
absorbci-	absorbc
absorption	absorpt
Abstammung	Abstamm
abstinence	abstin
abstracc-	abstr
abstract-	abstr
abstrak	abstr
Abteilung-	Abt
abtragen	abtrag
abundant-	abund
abus-	abus
Abwasseranalyt-	Abwasseranal
Abwasserbehandlung-	Abwasserbehandl
Abwasserbeseitigung	Abwasserbeseit
Abwasserbodenhandlung-	Abwasserbodenhandl
Abwassereinleitung	Abwassereinleit
Abwasserhebeanlage	Abwasserhebeanl
Abwasserkunde	Abwasserkd
Abwasserleitung	Abwasserleit
Abwasserreinigung	Abwasserreinig
Abwassertechni-	Abwassertech
Abwassertechnolog-	Abwassertechnol
Abwasserverwertung	Abwasserverwert
Abwasserwesen	Abwasserwes
Abwarmekommission	Abwarmekomm
Abwarmeverwertung	Abwarmeverwert
Abwicklung	Abwickl
acabad-	acab
academ-	acad
acampamento	acamp
acaricide	acaric
acarolog-	acarol
accademi-	accad
accelerat-	accel
accent-	accent
accept-	accept
accertam-	accert
accessib-	access
accessing	access
accession-	access
accelerer	accel
accident-	accid
accionista	accion
acclimam-	acclim
acclimat-	acclim
accommodat-	accommod
accomodation	accomod
accompany	acco
accompl-	accompl
accord-	accord
accoucheur	accouch
account	acc
accountability	account
accountancy	account
accountant	account
accounting	account
accredited	accredit
accreditation	accredit
accrocher	accroch
accroissement	accroiss
accueill-	accueil
accultur-	accult
accumulation	accumul
accumulative	accumul
accumulator	accumul
aceitero	aceit
acericolo	aceric
achademia	achad
achemine-	achemin
acheteur	achet
achievement-	achiev
achiever	achiev
achieving	achiev
Achimer	Achim
Achstetten-	Achstett
achtergrondmagazine	achtergrondmag
achtergrondstud-	achtergrondstud
achterstandsituatie	achterstandsituat
achtkarspel-	achtkarspel
achtzehnt-	achtzehn
acident-	acid
acidificat-	acidif
Ackerbausystem-	Ackerbausyst
Ackerschlepper	Ackerschlepp
aclimac-	aclim
aclimat-	aclim
acollemento	acoll
acompanhamento	acompan
acompanado	acompan
acondicion-	acond
acontecim-	acontecim
acotacin	acot
acousti-	acoust
acoustoelectroni-	acoustoelectron
acquacoltura	acquacolt
acquacultur-	acquacult
acquario	acquar
acquati-	acquat
acquedotto	acqued
acquir-	acquir
acquisition-	acquis
acquisizion-	acquis
acridologie	acridol
acrobatic	acrobat
acronym	acron
actief	act
actif	act
acting	act
actinide	actin
Actiniden	Actin
actinotherap-	actinother
actionnaire	action
activ-	act
actuacion	actuac
actuali-	actual
actuar-	actuar
actuellement	actuel
actiune	act
acuario	acuar
acuaristico	acuar
acuatic-	acuat
acuicultur-	acuic
acumulador	acumul
acumulat-	acumul
acupuncteur	acupunct
acupuncture	acupunct
acupunt-	acupunt
acustica	acust
acvacultur-	acvacult
acvatic-	acvat
acaruli	acar
acikogretim	acikogr
acucareiro	acucar
ad valor-	ad valor
adab-	adab
adalek	adal
adamantine	adamant
adapt-	adapt
adaptogen-	adaptog
adatbazis	adbazis
adatbaziscsalad	adbaziscsal
adatelemzes	adelemz
adatfeldolgoz-	adfeld
adatforras	adforras
adatgyujtemeny	adgyujt
adatgyujtes	adgy
adatrogzit-	adrogz
adatszolgaltat-	adszolgt
adattar	adtar
adbook	adb
addendum	add
addestr-	addestr
addicti-	addict
Addington	Addingt
additamentum	addit
additif	addit
addition-	addit
additive-	addit
addominale	addom
Adelaide	Adel
adelfot-	adelf
adelgaza-	adelg
Adelsblatt	Adelsbl
adelsboek	adelsb
adesmeut-	adesm
adevar-	adev
adgezi-	adgez
adhaesion	adhaes
adhesi-	adhes
adherent	adher
adici-	adic
adicti-	adict
adiestra-	adiestr
adipositasforschung-	adipositasforsch
Adirondack	Adirond
adjacent	adjac
adjoin-	adjoin
adjudication	adjudic
adjunct	adjun
adjunto	adjun
adjust-	adjust
adjuster	adjust
adjutant	adjut
adjuvan-	adjuv
adletter-	adlett
administer-	adm
administr-	adm
admiralty	admir
admision	admis
admission	admiss
admit-	admit
admixture	admix
adnot-	adnot
adolescen-	adolesc
adopcion	adopc
adopt-	adopt
adoracion	adorac
adoramus	ador
adorateur	adorat
adohatosag	adohat
adojogszabaly	adojogszab
adokonyv	adokv
adquirid-	adquir
adquis-	adquis
adrbejan-	adrb
adrenerg-	adren
adres-	adres
adresboek	adresb
adreslijst	adresl
adress-	adress
Adressbuch	Adressb
Adressenwerk	Adressenw
adressforteckning	adressforteckn
Adresskalender	Adresskal
adriatic-	adriat
adroddiad	adrodd
adsorpti-	adsorpt
aduan-	aduan
adunanz-	adun
adunare	adun
adunat-	adunat
advanc-	adv
advantage	advant
adventist	advent
advers-	advers
adverteerder-	adverteerd
advertentie	advert
advertis-	advert
adviesbureau	adviesbur
adviescommissie	adviescomm
adviesgroep	adviesgr
advieslijst	adviesl
advieswijzer	advieswijz
advis-	advis
advocatuur	advocat
advogado	advog
advokat-	advok
advokatblad	advokatbl
advokacie	advok
adyacente	adyac
Adyg-	Adyg
aedificatio	aedif
aegyptiac-	aegypt
Aegyptus	Aegypt
aequation	aequ
aequator-	aequat
aerial	aer
aerobic-	aerob
aerobiolog-	aerobiol
aerodynam-	aerodyn
aeroespac-	aeroesp
aeroioniz-	aeroioniz
aerojet	aeroj
aerolog-	aerol
aeromagnetic	aeromagn
aeromedica-	aeromed
aeronauti-	aeronaut
aeronavegacion	aeronaveg
aeronom-	aeron
aerophotograph-	aerophotogr
aeroplan-	aeropl
aeropor-	aeropor
aeroport-	aeropt
aeropostal	aeropost
aeropuerto	aeropt
Aerosolforschung	Aerosolforsch
Aerosolphysik	Aerosolphys
aerospace	aerosp
aerospatial-	aerosp
aerotechni-	aerotech
aerotecni-	aerotec
Aerothermochemi-	Aerothermochem
aerothermodynami-	aerothermodyn
aeroudraul-	aeroudraul
aerozoln-	aerozol
aesthetics	aesthet
aethiopici	aethiop
aetiolog-	aetiol
aevum	aev
aerodinam-	aerodin
aerodispersnyj	aerodispers
aerofizic-	aerofiz
aerofotosemka	aerofotos
aerogazodinam-	aerogazodin
aerogeolog-	aerogeol
aerogidrodinami-	aerogidrodin
aerohimi-	aerohim
aerojoniz-	aerojoniz
aerolog-	aerol
aeromehani-	aeromeh
aerometod-	aerometod
aeronomi-	aeron
aerotermooptic-	aerotermoopt
aeraulique	aeraul
aerien	aer
aerodrome	aerodr
aeroport	aeropt
aeroportuaire	aeropt
aeropost-	aeropost
aerostation	aerostn
aerothermique	aerotherm
afacer-	afac
afasiologie	afasiol
afdeeling-	afd
afdeling-	afd
afeccion	afecc
afecta-	afect
afectiune	afect
affaiblir	affaibl
affair-	aff
Affalterbach	Affalterb
affamato	affam
affar-	aff
affarstidning	affarstidn
affect-	affect
afferent	affer
affili-	affil
affiliateship	affiliatesh
affin-	affin
affirm-	affirm
affluent	affl
affordability	affordabil
affordable	afford
affranch-	affranch
affretement	affret
Afganistan	Afgan
afgehand-	afgehand
afgesproken	afgespr
Afghan-	Afghan
afghanicus	afghan
Afghanistan	Afghan
afgrelse	afgr
afhandling-	afh
aficion-	afic
afili-	afil
afisorama	afisor
afkom	afk
aforizem	aforiz
afprvning	afprv
Africa-	Afr
Afrika-	Afr
afrikaans	afrik
afrikanistisch	afr
afrikanoarav-	afrikanoarav
Afrike	Afr
Afrique-	Afr
Afroasiatic	Afroasiat
afrodisiolog-	afrodisiol
Afrolusitani-	Afrolusit
afschrijving	afschrijv
afskaffelse	afskaf
afsluttende	afslut
afsprak-	afspr
afstning	afst
afterloading	afterload
aftermarket	aftermark
aftertreatment	aftertreat
aftos-	aft
afvalproject	afvalproj
afvalstoff-	afvalstoff
afvalstoffenmaatschappij	afvalstoffenmaatsch
afvalsturing	afvalstur
afvalverwijdering	afvalverwijd
afvalwater	afvalw
afvoeren	afvoer
afwerking	afwerk
afwijkend-	afwijk
agahdar-	agahdar
Agapetos	Agap
agbioindustry	agbioind
Agderforskning	Agderforsk
Agenais	Agen
agence-	agence
Agentur	Agent
agentura	agent
agentra	agent
agentuur	agent
agentur-	agent
aentura	aent
aggeioheirourg-	aggeioheir
aggeliaforos	aggeliafor
aggeliofor-	aggeliofor
aggiornament-	aggiorn
aggiung-	aggiung
agglikanike	aggl
aggloellnik-	aggloell
agglomerat-	agglom
agglomeracio	agglom
aggregate	aggreg
aggregation	aggreg
aggressi-	aggress
agil-	agil
agiograf-	agiogr
agioreitik-	agioreit
agios	ag
Agiotheod-	Agiotheod
agit-	agit
agkalia	agkal
aglomerac-	aglom
agolog-	agol
agopuntur-	agopunt
agoranom-	agoranom
agoras-	agor
agoge	ag
agon-	agon
agonod-	agonod
agralia	agral
agramer	agram
agrameteorologisch-	agrameteorol
agrar-	agrar
Agrarbericht	Agrarber
agrarbiolog-	agrarbiol
Agrarentwicklung	Agrarentwickl
Agrarfrage	Agrarfr
Agrargeographie	Agrargeogr
Agrargeschichte-	Agrargesch
Agrarhandel	Agrarhand
agrari-	agrar
Agrarjournalist	Agrarjournal
agrarmeteorologisc-	agrarmeteorol
agrarn-	agrar
agrarokonom-	agrarokon
Agrarpolitik	Agrarpolit
Agrarpreis	Agrarpr
agrarsozial	agrarsoz
Agrarsoziologie	Agrarsoziol
Agrarstruktur	Agrarstrukt
agrartechni-	agrartech
Agrarwirtschaft-	Agrarwirtsch
Agrarwissenschaft	Agrarwiss
agrar-	agrar
agrarfejlodes	agrarfejl
agrarkozgazdasag	agrarkozgazd
agrartortenet	agrartort
agrartudomany	agrartud
agreement	agreem
agremia-	agrem
agresion	agres
agressolog-	agressol
agreg-	agreg
agrement	agrem
agribiolog-	agribiol
Agribusiness	Agribus
agric'xva	agric'
agrichemical	agrichem
agricol-	agric
agricult-	agric
agrikultor-	agrik
Agrikultur	Agrik
agrikultur-	agrik
agrimens-	agrimens
Agriniot	Agrin
agriturismo	agritur
agricol-	agric
agricultur-	agric
agroaliment-	agroaliment
agrobiolog-	agrobiol
agrobiznes	agrobiz
agrobotan-	agrobot
agrochemi-	agrochem
agrochimi-	agrochim
Agrociencias	Agrocienc
agroclimatolog-	agroclimatol
agroecol-	agroecol
agroeconom-	agroecon
agroedafolog-	agroedafol
agroekosystem-	agroekosyst
agroestadistico	agroestad
agrofitotehni-	agrofitoteh
agrofizicni	agrofiz
agrofizyk-	agrofiz
agroflorestal	agroflorest
agroforestal	agrofor
agroforestry	agrofor
agrofyl-	agrofyl
agrogeolog-	agrogeol
agrogruntoznavst-	agrogruntozn
agrohimi-	agrohim
agroindustria	agroind
agrokemi-	agrokem
agrokemia	agrokem
agroklimat	agroklim
agrokombinat	agrokomb
agrolesomeliora-	agrolesomelior
agrolog-	agrol
agromeliora-	agromelior
agrometeorolog-	agrometeorol
agrometeorologia	agrometeorol
agronom-	agron
agroobrt-	agroobrt
agropanorama	agropanor
agropecuari-	agropecu
agropocven-	agropocv
agropocvoveden-	agropocvoved
agroproizvodstv-	agroproizvod
agropromyslen-	agroprom
agroquimi-	agroquim
agrosocial	agrosoc
Agrotechni-	Agrotech
agrotecni-	agrotec
agrotehni-	agroteh
agrotikos	agr
agroturis-	agrotur
agroveterinaria	agrovet
agrumari-	agrum
agrumicoltur-	agrumic
agrumicultur-	agrumic
agrupa-	agrup
Aguelimus-	Aguelimus
agustinian-	agust
agygyakorlat	agygyak
agnagoba	agnag
agzrda	agz
Aharnaik-	Aharn
ahbori	ahb
ahborotnoma	ahb
Aheloos	Ahel
Ahlen-	Ahlen
ahorr-	ahorr
aiapidaja	aiapid
aidinkieli	aidink
Aigaiopelag-	Aigaiopelag
Aiginiot-	Aigin
Aigypt-	Aigypt
Aigyptiolog-	Aigyptiol
aikakausi	aikak
aikuinen	aik
ailment	ailm
aimat-	aim
aimodos-	aimodos
aineenopettaja	aineenopett
aiolik-	aiol
aion-	aion
airbrush	airbr
aircraft	aircr
airforce	airf
airfreight	airfr
airline	airl
airplane	airpl
airport	airpt
airship	airsh
airspace	airsp
airway	airw
airworthiness	airworth
aisla-	aisl
aisthetik-	aisthet
aither-	aither
Aitol-	Aitol
aitoloakarnan-	aitoloakarn
aizsardz-	aizsardz
ajakiri	ajak
ajakirjandus	ajakirjand
ajaloo	ajal
ajandus	ajand
ajankohtai-	ajankoht
ajattelija	ajatt
ajanl-	aj
ajedre-	ajedr
ajoneuvonosturi	ajoneuvonost
ajuntament	ajunt
ajustement	ajust
akadeem-	akad
Akadem-	Akad
akademia	akad
akadem-	akad
akadm-	akad
Akarnan-	Akarn
akarolog-	akarol
akatemi-	akat
akauntan	akaunt
akcin-	akc
akineta	akin
akistata	akist
akkerbouw	akkerb
akklimat-	akklim
akkredital	akkredit
akkrediter-	akkr
aklimat-	aklim
Akobitika	Akob
akoestich	akoest
akoolog-	akool
Akquis-	Akquis
akrib-	akrib
akrobat-	akrob
aksjemarkedsutvalg	aksjemarkedsutv
aktieahnlich-	aktieahnl
aktiebolag-	ab
aktief	akt
aktiekrant	aktiekr
Aktienanalyse	Aktienanal
aktienahnlich-	aktienahnl
Aktienfuhrer	Aktienfuhr
Aktiengesellschaft	AG
aktiesparar-	aktiespar
aktinologia	aktinol
aktinometr-	aktinom
aktinotherap-	aktinother
Aktionsgemeinschaft	Aktionsgem
Aktionsgruppe	Aktionsgr
aktiv-	akt
aktov-	akt
aktuaal-	aktuaal
aktual-	aktual
aktuarietidskrift-	aktuarietidskr
Aktuarverein	Aktuarver
aktualas	aktual
aktubinsk-	aktub
aktyv-	akt
aktywista	akt
akuntansi	akunt
akupunkt-	akupunkt
akusti-	akust
akustoelektroni-	akustoelektron
akustooptic	akustoopt
akusty-	akust
akusztika	akuszt
akuser-	akus
akutan	akut
akvakultur-	akvakult
akvarium	akvar
akvatisk-	akvat
akvarium	akvar
Akzeptanz	Akzept
akzeptieren	akzept
Akzession	Akzess
Alabama-	Ala
alakulas	alak
alarm-	alarm
Alaska	Alsk
alaves	alav
alambr-	alambr
albacetense	albacet
albanais	alban
albanez-	alban
albanicum	alban
Albanien	Alban
albanisch	alban
albanoell-	albanoell
albanolog-	albanol
alberghier-	albergh
Alberta	Alta
albertan	alta
albistar-	albist
albizottsag	albiz
Albstadt	Albst
Albuquerque	Albuq
Alcala de Henares	Alcala Hen
alchemist-	alchem
alchimie	alchim
alchimist-	alchim
alcohofilia	alcohofil
alcoholfabriek	alcoholfabr
alcoholhoudend	alcoholhoud
alcoholi-	alcohol
alcooli-	alcool
Alcover-	Alcover
alcada	alc
Aldenhoven-	Aldenh
Aldingen-	Alding
aldizkari	aldizka
alegacion	alegac
aleman-	alem
Alemanha	Alem
alemannisch-	alemann
alemao	alem
alentejano	alentej
alergia	alerg
alergolog-	alergol
Alexandria	Alex
Alexandrie	Alex
Alexandroupol-	Alexandroup
Alexianer	Alexian
alergico	alerg
alesien	ales
aleth-	aleth
alfabet-	alf
alfarrabista	alfarrab
Alfdorf	Alfd
algaraba	algarab
algebr-	algebr
algemeen-	alg
algemen-	alg
Algesheim-	Algesh
Algesie	Alges
algebr-	algebr
algeri-	alger
algodao	algod
algodon-	algodon
algolog-	algol
Algonquian	Algonq
Algonquin	Algonq
algoritm-	algoritm
algopetus	algopet
Alheim-	Alh
alicant-	alicant
alienado	alien
alienazione	alien
alieutikos	alieut
alienation	alien
alieniste	alien
alikulkupaikat	alikulkupaik
aliment-	aliment
alist-	alist
alkalmaz-	alk
alkalmazasfejleszt-	alkfejleszt
alkalmazastechnika	alktech
alkalmazkod-	alkalmazk
alkalmazott	alkalm
alkilaromati-	alkilaromat
alkogoln-	alkogoln
alkoholbedingt	alkoholbed
Alkoholbericht	Alkoholber
Alkoholi-	Alkohol
alkoholitilasto	alkoholitil
alkoholizm	alkohol
alkohologia	alkohol
alkuper-	alkuper
alkylat-	alkylat
alleanz-	allean
Allegheny	Allegh
allelochemi-	allelochem
allelopath-	allelopath
Allemagne	Allem
allemand	allem
Allendorf	Allend
Allensbach	Allensb
allergen	allerg
allergi-	allerg
allerginytt	allerg
allergiolog-	allergiol
allergolog-	allergol
allerhand	allerh
Allerheilig-	Allerheil
alleva-	allev
allelegg-	allelegg
Allgauer	Allgau
allgemein-	allg
alliansmission-	alliansmiss
allmaen-	allm
allman-	allm
allmennvitenskapelig	allmennvitensk
Allmersbach	Allmersb
allocat-	alloc
alloch-	alloch
allokot-	allokot
allotment	allot
allow-	allow
alloy-	alloy
allrussisch-	allruss
Alltagsdichtung	Alltagsdicht
allumin-	allum
Allunionskonferenz	Allunionskonf
alluvi-	alluv
alma-atinsk-	alma-at
almacen-	almac
almanac-	alm
almanah	alm
almanak	alm
almanaque	alm
Almanya	Alman
almenmedisin	almenmed
almenn-	almen
almenvitenskapelig	almenvitensk
almer-	almer
almindelig	almin
alojamiento	aloj
aloumin-	aloum
Alpen	Alp
Alpes-de-Haute-Provence	Alpes-Ht.-Provenc
alpesi	alp
alphabet-	alph
Alphatronic	Alphatron
alpicoltur-	alpic
alpin	alp
alpina	alp
alpine	alp
alpini-	alp
Alpok	Alp
Alpokalja	Alpalja
alquiler	alquil
alsacien-	alsac
alsofoku	alsof
alsotagozat	alsotagz
Alsterverein	Alsterver
Alt-Hildesheim	Alt-Hildesh
altafull-	altafull
Altaicus	Altai
altaisch	altai
altajsk-	altaj
altar-	altar
altassyrisch	altassyr
altagyptisch	altagypt
Altbauerneuerung	Altbauerneu
altbayerisch	altbayer
altchristlich	altchristl
altdeutsch-	altdtsch
Altdorf-	Altdorf
Altenaer	Altena
Altenarbeit	Altenarb
Altenberge	Altenb
Altenburg-	Altenbg
Altenkirchen	Altenkirch
Altenpflege	Altenpfl
Altenstadt	Altenst
alteration	alter
alternat-	altern
Alternsforschung-	Alternsforsch
Altersbekaempfung-	Altersbekaempf
Altersversorgung-	Altersversorg
Altertum	Altert
Altes Testament	A. T
altfriesisch-	altfries
Althebraistik	Althebr
alther-	alther
althistorisch	althist
althochdeutsch	althochdtsch
altitude	alt
Altkreis	Altkr
Altland-	Altl
altnurnberger-	altnurnb
altomedieval-	altomediev
Altonaer	Altona
altorientalisch-	altorient
Altolkongress	Altolkongr
Altotting	Altott
altpreussisch-	altpreuss
altran-	altran
altschlesich-	altschles
altsprachlich	altsprachl
alttestamentlich	alttest
aluelehti	aluel
aluepoliitti-	aluepoliit
aluesanomat	aluesan
aluetieto	aluet
alumine	alum
aluminium	alum
aluminum	alum
aluminium	alum
aluminiumipar	alumip
alumnado	alumn
alustus	alust
alumini-	alum
alumosilikat-	alumosilik
Alzenauer	Alzenau
Alzeyer	Alzey
alingi-	al
aljamlum	aljam
aljoaskrifstof-	aljoaskrifst
algolog-	algol
almanah	alm
alpijsk-	alp
amaigrissement	amaigr
amalgamate	amalgam
amandier	amand
amaranth-	amaran
amaranto	amaran
amater	amat
amateur-	amat
amaterske	amat
amator-	amat
amator	amat
amatorfilm	amatfilm
amaz-	amaz
Amazonas	Amazon
Amazonens-	Amazon
Amazonia	Amazon
Ambacher	Amb
ambalaj	ambal
ambalaza	ambal
ambassad-	ambassad
Amberg-	Amberg
ambiciozne	amb
ambient-	ambient
ambtelijk	ambtel
ambtenaar	ambten
ambulanc-	ambulanc
ambulant	ambul
ambulante	ambul
ambulantn	ambul
ambulatoire	ambul
ambulatorinis	ambul
ambulatorio	ambul
ambulatory	ambul
Ameland-	Amel
amelior-	amelior
amenaj-	amenaj
amend-	amend
america-	am
americk-	am
Amerik-	Am
amerikanisztika	am
ametiuhing-	ametiuh
ametlik	amet
ameublement	ameubl
amenagement	amenage
Amerique-	Am
amfib-	amfib
Amfikt-	Amfikt
Amfissa	Amfis
Amherst-	Amherst
amical	amic
amicizia	amic
amicus	amic
amist-	amist
Amityville	Amityv
ammat-	amm
ammatti-	amm
amministrativa	ammin
amministratore	ammin
amministrazione	ammin
ammonia-	ammon
ammunition	ammunit
amoibaia	amoib
amoiensis	amoi
amoivai-	amoiv
Amorgian-	Amorg
amorph-	amorph
amount-	amount
amour-	amour
ampelo-	ampel
ampelolog-	ampelol
ampelourg-	ampel
amphibi-	amphib
amphor-	amphor
ampliacio	ampl
ampliacion	ampl
ampliado	ampl
amplification	amplif
amplifier	amplif
ampujainliitto	ampujainl
ampurdan-	ampurd
ampuritano	ampur
Amstelland	Amstell
Amsterdam	Amst
Amtdruckschrift-	Amtdruckschr
amtlich	amtl
Amtsblatt	Amtsbl
amuntik-	amun
amursk-	amur
amusement	amus
amyn-	amyn
amyotrophic	amyotroph
amin-	amin
anabaptis-	anabapt
anabathmos	anabath
anaboli-	anab
anadasm-	anadasm
anadian-	anadian
anaerobic	anaerob
anaesthesia	anaesth
