# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Acoustics today	Acoust. Today
Acquired immunodeficiency syndrome (AIDS) weekly surveillance report / AIDS Activity, Center for Infectious Diseases, Centers for Disease Control	Acquir. Immunodefic. Syndr. (AIDS) Wkly. Surveill. Rep.
Acquisitions medicales recentes	Acquis. Med. Recent.
Across the board	Across Board (NY).
Acta - Unio Internationalis Contra Cancrum	Acta Unio Int. Contra Cancrum
Acta Academiae Medicinae Wuhan = Wu-han i hsueh yuan hsueh pao	Acta Acad. Med. Wuhan
Acta Academiae Scientiarum Polonae / Polska Akademia Nauk	Acta Acad. Sci. Pol.
Acta Belgica de arte medicinali et pharmaceutica militari	Acta Belg. Arte Med. Pharm. Mil.
Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae	Acta Belg. Hist. Med.
Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation	Acta Belg. Med. Phys.
Acta Manilana	Acta Manila. Ser. A.
Acta Musei Napocensis	Acta Mus. Napocensis
Acta Salmanticensia. Filosofia y letras	Acta Salmanticensia. Ser. Filos. Letra.
Acta Salmanticensia. Historia de la medicina	Acta Salmant. Hist. Med.
Acta Societatis Medicorum Upsaliensis	Acta Soc. Med. Ups.
Acta Societatis Medicorum Upsaliensis. Supplementum	Acta Soc. Med. Ups. Suppl.
Acta Universitatis Agriculturae. Facultas agronomica. Vysoka skola zemedelska v Brne. Fakulta agronomicka	Acta Univ. Agric. Fac. Agron.
Acta Universitatis Carolinae. Geographica. Univerzita Karlova	Acta Univ. Carol. Geogr.
Acta Universitatis Carolinae. Historia Universitatis Carolinae Pragensis. Univerzita Karlova	Acta Univ. Carol. Univerzita Karlov.
Acta Universitatis Carolinae. Medica	Acta Univ. Carol. Med. (Praha).
Acta Universitatis Carolinae. Medica. Monographia	Acta Univ. Carol. Med. Monogr.
Acta Universitatis Carolinae. Philosophica et historica	Acta Univ. Carol. Philos. Hist.
Acta Universitatis Lundensis. Sectio I, Theologica, juridica, humaniora	Acta Univ. Lund.
Acta Universitatis Palackianae Olomucensis Facultatis Medicae	Acta Univ. Palacki. Olomuc. Fac. Med.
Acta Universitatis Stockholmiensis. Stockholm studies in English	Stockh. Stud. Engl.
Acta Universitatis Szegediensis de Attila Jozsef Nominatae. Acta juridica et politica	Acta Univ. Szeged. Attila Jozsef Nominatae.
Acta Universitatis Upsaliensis. Studia sociologica Upsaliensia	Acta Univ. Ups.
Acta allergologica. Supplementum	Acta Allergol. Suppl. (Copenh).
Acta anaesthesiologica Belgica	Acta Anaesthesiol. Belg.
Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists	Acta Anaesthesiol. Taiwan
Acta anatomica	Acta Anat. (Basel).
Acta anatomica. Supplementum	Acta Anat. Suppl. (Basel).
Acta anthropogenetica	Acta Anthropogenet.
Acta antiqua Academiae Scientiarum Hungaricae	Acta Antiq. Hung.
Acta argentina de fisiologia y fisiopatologia	Acta Argent. Fisiol. Fisiopatol.
Acta bio-medica : Atenei Parmensis	Acta Biomed.
Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma	Acta Biomed. Ateneo. Parmense
Acta biochimica et biophysica Hungarica	Acta Biochim. Biophys. Hung.
Acta biochimica et biophysica Sinica	Acta Biochim. Biophys. Sin. (Shanghai).
Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	Acta Biochim. Biophys. Acad. Sci. Hung.
Acta bioethica	Acta Bioeth.
Acta biologiae experimentalis	Acta Biol. Exp. (Warsz).
Acta biologica Academiae Scientiarum Hungaricae	Acta Biol. Acad. Sci. Hung.
Acta biologica Hungarica	Acta Biol. Hung.
Acta biologica et medica	Acta Biol. Med. (Gdansk).
Acta biologica et medica Germanica	Acta Biol. Med. Ger.
Acta botanica Brasilica	Acta Bot. Brasilica
Acta botanica Gallica : bulletin de la Societe botanique de France	Acta Bot. Gallica
Acta botanica Hungarica	Acta Bot. Hung.
Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a	Acta Brevia Neerl. Physiol. Pharmacol. Microbiol. E. A.
Acta cancerologica	Acta Cancerol. (Lima).
Acta chemica Scandinavica (Copenhagen, Denmark : 1989)	Acta Chem. Scand.
Acta chemica Scandinavica. Series A: Physical and inorganic chemistry	Acta Chem. Scand. A.
Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry	Acta Chem. Scand. B.
Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca	Acta Chir. Orthop. Traumatol. Cech.
Acta chirurgica Academiae Scientiarum Hungaricae	Acta Chir. Acad. Sci. Hung.
Acta chirurgica Belgica	Acta Chir. Belg.
Acta chirurgica Hungarica	Acta Chir. Hung.
Acta cirurgica brasileira / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia	Acta Cir. Bras.
Acta classica	Acta Cl.
Acta clinica Belgica	Acta Clin. Belg.
Acta clinica Belgica. Supplementum	Acta Clin. Belg. Suppl.
Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]	Acta Clin. Odontol.
Acta crystallographica Section B, Structural science, crystal engineering and materials	Acta Crystallogr. B. Struct. Sci. Cryst. Eng. Mater.
Acta crystallographica. Section A, Crystal physics, diffraction, theoretical and general crystallography	Acta Crystallogr. A.
Acta crystallographica. Section A, Foundations of crystallography	Acta Crystallogr. A.
Acta crystallographica. Section B, Structural science	Acta Crystallogr. B.
Acta crystallographica. Section B: Structural crystallography and crystal chemistry	Acta Crystallogr. B.
Acta crystallographica. Section C, Crystal structure communications	Acta Crystallogr. C.
Acta crystallographica. Section D, Biological crystallography	Acta Crystallogr. D. Biol. Crystallogr.
Acta crystallographica. Section E, Structure reports online	Acta Crystallogr. Sect. E. Struct. Rep. Online
Acta crystallographica. Section F, Structural biology and crystallization communications	Acta Crystallogr. Sect. F. Struct. Biol. Cryst. Commun.
Acta dermato-venereologica	Acta Derm. Venereol.
Acta dermato-venereologica. Supplementum	Acta Derm. Venereol. Suppl. (Stockh).
Acta dermatologica-Kyoto. English edition	Acta Dermatol. Kyoto. Engl. Ed.
Acta dermatovenerologica Alpina, Panonica, et Adriatica	Acta Dermatovenerol. Alp. Panonica. Adriat.
Acta dermatovenerologica Croatica : ADC	Acta Dermatovenerol. Croat.
Acta embryologiae et morphologiae experimentalis ("Halocynthia" Association")	Acta Embryol. Morphol. Exp.
Acta embryologiae experimentalis	Acta Embryol. Exp. (Palermo).
Acta endocrinologica	Acta Endocrinol. (Copenh).
Acta endocrinologica. Supplementum	Acta Endocrinol. Suppl. (Copenh).
Acta endoscopica	Acta Endoscopica
Acta ethologica	Acta Ethol.
Acta gastro-enterologica Belgica	Acta Gastroenterol. Belg.
Acta genetica et statistica medica	Acta Genet. Stat. Med.
Acta geneticae medicae et gemellologiae	Acta Genet. Med. Gemellol. (Roma).
Acta geographica Croatica : glasilo Geografskog odjela PMF-a Sveucilista u Zagrebu	Acta Geogr. Croat.
Acta gerontologica	Acta Gerontol. (Milano).
Acta ginecologica	Acta Ginecol. (Madr).
Acta gynaecologica et obstetrica Hispano-Lusitana	Acta Gynaecol. Obstet. Hisp. Lusit.
Acta hepato-gastroenterologica	Acta Hepatogastroenterol. (Stuttg).
Acta hepato-splenologica	Acta Hepatosplenol.
Acta hepatologica	Act. Hepato.
Acta historiae rerum naturalium necnon technicarum. Special issue	Acta Hist. Rerum Nat. Tech.
Acta historica medicinae, pharmaciae, veterinae	Acta Hist. Med. Pharm. Vet. (Beograd).
Acta historico-medica vallisoletana. Monografias	Acta Hist. Med. Vallisoletana. Monogr.
Acta iberica radiologica-cancerologica	Acta Iber. Radiol. Cancerol.
Acta informatica medica : AIM : journal of the Society for Medical Informatics of Bosnia & Herzegovina : casopis Drustva za medicinsku informatiku BiH	Acta Inform. Med.
Acta isotopica	Acta Isot. (Padova).
Acta linguistica Hungarica	Acta Linguist. Hung.
Acta mathematica Sinica, English series	Acta Math. Sin. Engl. Ser.
Acta mathematicae applicatae Sinica (English series)	Acta Math. Appl. Sin.
Acta mechanica Sinica = Li xue xue bao / the Chinese Society of Theoretical and Applied Mechanics	Acta Mech. Sin.
Acta medica	Acta Medica Cordoba.
Acta medica (Hradec Kralove) / Universitas Carolina, Facultas Medica Hradec Kralove	Acta Medica (Hradec Kralove)
Acta medica (Hradec Kralove). Supplementum Universitas Carolina, Facultas Medica Hradec Kralove	Acta Medica (Hradec Kralove). Suppl.
Acta medica Academiae Scientiarum Hungaricae	Acta Med. Acad. Sci. Hung.
Acta medica Austriaca	Acta Med. Austriaca
Acta medica Austriaca. Supplement	Acta Med. Austriaca. Suppl.
Acta medica Catholica	Acta Med. Cathol.
Acta medica Croatica : casopis Hravatske akademije medicinskih znanosti	Acta Med. Croatica
Acta medica Hungarica	Acta Med. Hung.
Acta medica Indonesiana	Acta Med. Indones.
Acta medica Iranica	Acta Med. Iran.
Acta medica Italica di malattie infettive e parassitarie	Acta Med. Ital. Mal. Infett. Parassit.
Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	Acta Med. Ital. Med. Trop. Subtrop. Gastroenterol.
Acta medica Iugoslavica	Acta Med. Iugosl.
Acta medica Nagasakiensia	Acta Med. Nagasaki.
Acta medica Okayama	Acta Med. Okayama
Acta medica Orientalia	Acta Med. Orient.
Acta medica Patavina	Acta Med. Patav.
Acta medica Patavina. Supplemento	Acta Med. Patavina. Suppl.
Acta medica Philippina	Acta Med. Philipp.
Acta medica Polona	Acta Med. Pol.
Acta medica Scandinavica	Acta Med. Scand.
Acta medica Scandinavica. Supplementum	Acta Med. Scand. Suppl.
Acta medica Turcica	Acta Med. Turc.
Acta medica Vietnamica	Acta Med. Vietnam.
Acta medica academica	Acta Med. Acad.
Acta medica auxologica	Acta Med. Auxol. (Milano).
Acta medica colombiana : AMC : organo de la Asociacion Columbiana de Medicina Interna	Acta Med. Colomb.
Acta medica costarricense	Acta Med. Costarric.
Acta medica de Tenerife	Acta Med. Tenerife
Acta medica del valle	Acta Med. Valle
Acta medica dominicana : revista cientifica para medicos	Acta Med. Dom.
Acta medica et biologica	Acta Med. Biol. (Niigata).
Acta medica hidalguense	Acta Med. Hidalguense
Acta medica hispanica	Acta Med. Hisp.
Acta medica portuguesa	Acta Med. Port.
Acta medica romana; annali della Facolta di medicina e chirurgia, Universita cattolica del Sacro Cuore	Acta Med. Rom.
Acta medica veterinaria	Acta Med. Vet. (Napoli).
Acta medicae historiae Patavina	Acta Med. Hist. Patav.
Acta medicinae legalis et socialis	Acta Med. Leg. Soc. (Liege).
Acta medico-historica adriatica : AMHA	Acta Med. Hist. Adriat.
Acta microbiologica Academiae Scientiarum Hungaricae	Acta Microbiol. Acad. Sci. Hung.
Acta microbiologica Hungarica	Acta Microbiol. Hung.
Acta microbiologica Polonica. Series A: Microbiologia generalis	Acta Microbiol. Pol. A.
Acta microbiologica Polonica. Series B: Microbiologia applicata	Acta Microbiol. Pol. B.
Acta microbiologica et immunologica Hungarica	Acta Microbiol. Immunol. Hung.
Acta microbiologica, virologica et immunologica	Acta Microbiol. Virol. Immunol. (Sofiia).
Acta morphologica Academiae Scientiarum Hungaricae	Acta Morphol. Acad. Sci. Hung.
Acta morphologica Academiae Scientiarum Hungaricae. Supplementum	Acta Morphol. Acad. Sci. Hung. Suppl.
Acta morphologica Hungarica	Acta Morphol. Hung.
Acta morphologica Neerlando-Scandinavica	Acta Morphol. Neerl. Scand.
Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology / edited by the Gaetano Conte Academy for the study of striated muscle diseases	Acta Myol.
Acta naturae	Acta Naturae
Acta neurobiologiae experimentalis	Acta Neurobiol. Exp. (Wars).
Acta neurochirurgica	Acta Neurochir. (Wien).
Acta neurochirurgica. Supplementum	Acta Neurochir. Suppl. (Wien).
Acta neurologica	Acta Neurol. (Napoli).
Acta neurologica Belgica	Acta Neurol. Belg.
Acta neurologica Taiwanica	Acta Neurol. Taiwan.
Acta neurologica et psychiatrica Belgica	Acta Neurol. Psychiatr. Belg.
Acta neurologica. Quaderni	Acta Neurol. Quad. (Napoli).
Acta neurovegetativa	Acta Neuroveg. (Wien).
Acta obstetrica y ginecologica hispano-lusitana	Acta Obstet. Ginecol. Hisp. Lusit.
Acta obstetrica y ginecologica hispano-lusitana. Suplemento	Acta Obstet. Ginecol. Hisp. Lusit. Suppl.
Acta odontologica latinoamericana : AOL	Acta Odontol. Latinoam.
Acta of bioengineering and biomechanics / Wroclaw University of Technology	Acta Bioeng. Biomech.
Acta oncologica	Acta Oncol. (Madr).
Acta oncologica (Stockholm, Sweden)	Acta Oncol.
Acta ophthalmologica. Supplement	Acta Ophthalmol. Suppl. (Oxf. ).
Acta orthopaedica Belgica	Acta Orthop. Belg.
Acta oto-laryngologica	Acta Otolaryngol.
Acta oto-laryngologica orientalia	Acta Otolaryngol. Orient.
Acta oto-laryngologica. Supplementum	Acta Otolaryngol. Suppl.
Acta oto-rhino-laryngologica Belgica	Acta Otorhinolaryngol. Belg.
Acta oto-rino-laringologica ibero-americana	Acta Otorinolaryngol. Iber. Am.
Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	Acta Otorhinolaryngol. Ital.
Acta paediatrica (Oslo, Norway : 1992)	Acta Paediatr.
Acta paediatrica (Oslo, Norway : 1992). Supplement	Acta Paediatr. Suppl.
Acta paediatrica Academiae Scientiarum Hungaricae	Acta Paediatr. Acad. Sci. Hung.
Acta paediatrica Belgica	Acta Paediatr. Belg.
Acta paediatrica Hungarica	Acta Paediatr. Hung.
Acta paediatrica Japonica; Overseas edition	Acta Paediatr. Jpn.
Acta paediatrica Taiwanica = Taiwan er ke yi xue hui za zhi	Acta Paediatr. Taiwan
Acta paedologica	Acta Paedolog.
Acta parasitologica / Witold Stefanski Institute of Parasitology, Warszawa, Poland	Acta Parasitol.
Acta pathologica et microbiologica Scandinavica. Section A, Pathology	Acta Pathol. Microbiol. Scand. A.
Acta pathologica et microbiologica Scandinavica. Section B, Microbiology	Acta Pathol. Microbiol. Scand. B.
Acta pathologica et microbiologica Scandinavica. Section B: Microbiology and immunology	Acta Pathol. Microbiol. Scand. B. Microbiol. Immunol.
Acta pathologica et microbiologica Scandinavica. Section C, Immunology	Acta Pathol. Microbiol. Scand. C.
Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology	Acta Pathol. Microbiol. Immunol. Scand. A.
Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology	Acta Pathol. Microbiol. Immunol. Scand. B.
Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology	Acta Pathol. Microbiol. Immunol. Scand. C.
Acta pharmaceutica (Zagreb, Croatia)	Acta Pharm.
Acta pharmaceutica Hungarica	Acta Pharm. Hung.
Acta pharmaceutica Jugoslavica	Acta Pharm. Jugosl.
Acta pharmacologica et toxicologica	Acta Pharmacol. Toxicol. (Copenh).
Acta physiologiae plantarum / Polish Academy of Sciences, Committee of Plant Physiology Genetics and Breeding	Acta Physiol. Plant
Acta physiologica (Oxford, England)	Acta Physiol. (Oxf).
Acta physiologica Academiae Scientiarum Hungaricae	Acta Physiol. Acad. Sci. Hung.
Acta physiologica Hungarica	Acta Physiol. Hung.
Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia	Acta Physiol. Pharmacol. Latinoam.
